protein1_ID	protein2_ID
P06245	P07278
P13574	Q03063
P13574	Q03373
Q03063	Q03373
P13574	P18412
P13574	Q03063
P18412	Q03063
P03965	P07258
O13297	Q01159
P15790	P19454
P15790	P38930
P15790	P43639
P19454	P38930
P19454	P43639
P38930	P43639
P31688	P38426
P31688	Q00764
P38426	Q00764
P31688	P38427
P31688	Q00764
P38427	Q00764
P23287	P25296
P14747	P25296
P25359	P38792
P25359	P46948
P25359	P48240
P25359	P53256
P25359	P53859
P25359	Q05636
P25359	Q08162
P25359	Q08285
P25359	Q12149
P25359	Q12277
P38792	P46948
P38792	P48240
P38792	P53256
P38792	P53859
P38792	Q05636
P38792	Q08162
P38792	Q08285
P38792	Q12149
P38792	Q12277
P46948	P48240
P46948	P53256
P46948	P53859
P46948	Q05636
P46948	Q08162
P46948	Q08285
P46948	Q12149
P46948	Q12277
P48240	P53256
P48240	P53859
P48240	Q05636
P48240	Q08162
P48240	Q08285
P48240	Q12149
P48240	Q12277
P53256	P53859
P53256	Q05636
P53256	Q08162
P53256	Q08285
P53256	Q12149
P53256	Q12277
P53859	Q05636
P53859	Q08162
P53859	Q08285
P53859	Q12149
P53859	Q12277
Q05636	Q08162
Q05636	Q08285
Q05636	Q12149
Q05636	Q12277
Q08162	Q08285
Q08162	Q12149
Q08162	Q12277
Q08285	Q12149
Q08285	Q12277
Q12149	Q12277
P25359	P38792
P25359	P46948
P25359	P48240
P25359	P53256
P25359	P53859
P25359	Q05636
P25359	Q08162
P25359	Q08285
