Entry	Gene names  (ordered locus )
P38343	YBR266C
P43544	YFL060C
Q12212	YOR137C
P36169	YKR100C
P38272	YBR130C
P06701	YLR442C
Q07478	YDL084W
Q08553	YOR179C
P35189	YPL129W
Q03750	YML114C
Q06836	YPR095C
P47180	YJR153W
Q12459	YDL039C
P32606	YOR017W
P25611	YCR106W
Q00246	YKR055W
P40339	YOL094C
P38061	YBL092W
Q12495	YPR018W
P36532	YBR268W
P16370	YIL021W
P34087	YDR404C
P38192	YBL048W
P38792	YHR069C
P53117	YGL146C
P32786	YBL014C
Q04947	YDR233C
P07806	YGR094W
P89114	YHR079C-A
P39954	YER043C
P40075	YER120W
Q12334	YDL139C
P53324	YGR263C
P28707	YKL117W
P15303	YPR181C
Q3E785	YDR379C-A
P38890	YHR207C
P40090	YER147C
P16658	YLR105C
Q00711	YKL148C
P38072	YBR024W
P38863	YHR172W
P50088	YGR236C
P38283	YBR156C
P06782	YDR477W
P38247	YBR077C
P33749	YKL062W
P36052	YKL162C
P39744	YOR206W
P40219	YMR148W
Q05166	YDL088C
P53224	YGR038W
P20133	YPR176C
Q02651	YPL027W
P38128	YBR182C
Q07657	YDL225W
Q99176	YLR119W
P32342	YKL122C
P39706	YAR003W
P15624	YLR060W
P32048	YNL073W
P07284	YDR023W
P36145	YKR062W
P38085	YBR069C
Q03640	YML072C
P48363	YGR078C
P25362	YCR020C
P40534	YIL037C
P80210	YNL220W
P05748	YLR029C
P21672	YIL066C
P41805	YLR075W
P49723	YGR180C
P02406	YGL103W
P53060	YGL250W
P07703	YPR110C
P38805	YHR088W
Q04598	YDR115W
Q06090	YPR100W
P36121	YKR025W
Q05942	YLR221C
P41058	YDL061C
Q12464	YPL235W
P39990	YEL026W
P32364	YKL079W
P40511	YIL073C
P53541	YNL012W
P25345	YCR024C
P09734	YML124C
P53904	YNL148C
P38793	YHR070W
P47047	YJL050W
P53174	YGL053W
P29461	YOR208W
P02381	Q0140
Q03465	YDL020C
P36528	YNL252C
P20436	YOR224C
P22276	YOR207C
Q08745	YOR293W
P06367	YCR031C
Q03940	YDR190C
P20134	YOR140W
P54867	YOR008C
P36094	YKL042W
P40485	YIL105C
