Protein,L2FC,p,q
Q05778,0.15110699724321,0.0268968806392113,0.0684852293273047
Q05785,-0.239859098304667,0.0148581070255831,0.0463649485103752
Q05787,-0.0418535817855526,0.816857448773501,0.86317148480988
Q05788,0.195915895850139,0.0172158369699449,0.0510009772943694
Q05789,0.849611682931759,0.033928410715341,0.0798647946887138
Q05791,-0.0490048146513734,0.687774007138147,0.760655178419495
Q05809,-2.4841491942868,0.0388163980523931,0.0881205385308559
Q05812,-0.318133397987116,0.000141813673348002,0.00451236088377287
Q05854,-0.883760710408491,0.0128606274510277,0.0426841960018454
Q05871,0.0522907766265083,0.784312215578081,0.836835770128644
Q05874,1.03283719270313,0.000195819610535115,0.00495686655921724
Q05881,0.519456061510949,0.00650741575132942,0.0285182871169372
Q05892,-0.102469497684087,0.239987202950304,0.339181913503097
