Protein;WT_Control_1;WT_Control_2;WT_Control_3;WT_Control_4;WT_HU_1;WT_HU_2;WT_HU_3;WT_HU_4
P32263;1801151.25;1872715.375;1886092.125;30131.8;1976408.875;1811462.125;2024395.625;1809661.375
P32264;401898.5;388888.84375;358166.09375;47162.1;369467.09375;371791.8125;365536.6875;367615.03125
P32266;130837.3828125;110650.9453125;112997.078125;99177.69;100357.4453125;145178.515625;124160.09375;122800.625
P32288;3155523;2534198.25;2579489.25;41766;2909201.5;2785461.25;2804066.5;2815889
P32316;476891.84375;335141.625;363794.46875;58711.92;449626.78125;473314.8125;464509.46875;470786
P32317;53524.02734375;60504.96875;54781.078125;58264.66;67944.3125;56086.42578125;60582.60546875;70500.296875
P32319;340790.28125;306749.21875;285707.25;177777.44;350070.59375;314393.59375;337988.59375;335278
P32324;21664512;18528242;18488132;93289.18;20411918;20852354;19797374;20910448
P32327;784814.1875;750347.1875;798523.1875;130166.68;768644.125;836808.75;755831.375;822302.625
P32328;50433.7734375;24078.533203125;52614.0546875;65879.58;31494.140625;38201.25390625;40441.6328125;56067.53515625
P32329;101591.21875;53768.08203125;98968.953125;60009.79;100347.3046875;64098.78125;37862.59765625;142247.640625
P32330;90300.796875;100879.53125;68525.78125;96021.7;89919.75;59320.4296875;79303.9296875;103290.0703125
P32331;63612.8671875;70273.1875;53778.828125;33375.67;47467.5546875;53521.86328125;44105.3671875;47015.7109375
P32332;32064.623046875;39748.16015625;35781.55078125;35153.01;24993.8359375;44325.28125;14172.111328125;36219.85546875
P32333;93109.9140625;88597.9609375;110244.75;209976.56;75972.171875;99555.9765625;76440.9375;124369.6875
P32335;141130.640625;156537.34375;153156.171875;50880.15;143047.359375;160554.109375;138833.359375;176631.71875
P32336;19705.3125;35880.26171875;67834.71875;94104.03;28762.859375;23754.4453125;17380.044921875;25163.603515625
P32337;366201.71875;268031.25;247827;121030.52;268125.8125;334246.71875;322787.78125;269628.65625
P32339;95368.0078125;145356.140625;118027.5859375;37179;65794.21875;76513.0234375;48598.7265625;80015.0625
P32340;224947.46875;199666.375;200528.515625;57249.86;237382.921875;258313.453125;275305.03125;236955.21875
P32341;37735.85546875;35426.73828125;35146.19140625;25286.62;31111.49609375;39644.9296875;41168.98828125;29284.408203125
P32342;492642.5625;813330.3125;603738.9375;18425.23;668166.0625;417792.3125;585376.25;627582.1875
P32345;31253.650390625;49621.85546875;76683.796875;35264.19;34358.41015625;36655.90234375;27829.84375;69302.6171875
P32347;132324.71875;83135.3671875;103402.4765625;41349.03;104406.1953125;117291.9375;109925.390625;99981.296875
P32349;175990.90625;216701.109375;209471.109375;74016.93;206745.109375;171990.65625;182697.734375;172274.65625
P32350;12098.275390625;34769.8828125;20050.970703125;83842.84;21217.658203125;20581.3046875;23617.80078125;15824.9677734375
P32351;52430.83984375;50161.44921875;42245.61328125;39070.69;49332.75;50458.02734375;56874.1015625;41673.69921875
P32352;502399.1875;343648.25;428098.875;24895.6;313166.9375;446647.90625;349693.75;540757.5625
P32353;794188.8125;490183.59375;531595.5;42730.3;435168.0625;721012;843192.6875;467471.09375
P32356;810138;441456.71875;619064.6875;85879.22;610052.6875;797393.3125;720200.0625;678409.25
P32361;20426.181640625;29152.73046875;19501.416015625;126975.73;18796.974609375;21350.001953125;16214.279296875;15818.9287109375
P32364;47246.78125;51283.05859375;46829.42578125;73799.23;59112.24609375;53236.71484375;46587.80859375;53586.2578125
P32366;798055.8125;359455.375;422471.125;39790.66;376955.65625;773696.1875;608846.25;488296.9375
P32367;92701.3828125;117538.3359375;111388.390625;73553.58;135597.53125;95811.1015625;81483.1640625;126257.2109375
P32368;803545.625;517238.28125;546187.875;71124.63;491289.15625;794410.9375;734036.875;611704.4375
P32377;766544.6875;890767.625;950432.5;44115.9;909043.75;773330.625;763441.125;885376.375
P32378;33184.79296875;56543.34765625;101577.890625;41001.46;53376.73828125;48504.375;45460.625;56833.62890625
P32379;1174812.5;884915;1019851.6875;28617.11;1319021.375;1289306.125;1352722.375;1097287.375
P32380;50178.70703125;76071.0546875;59611.8359375;111781.75;73596.5546875;44806.859375;44304.9296875;49398.99609375
P32381;894172.5;784060.9375;889630.25;44073.52;784215.8125;823218.4375;740677.6875;975428.25
P32386;334926.15625;279565.625;250284.828125;189162.38;239227.875;367900.25;322126.21875;274672.0625
P32387;103884.3515625;140453.1875;132124.71875;30566.16;158567.40625;108913.1953125;124932.6328125;122442.3828125
P32388;55382.703125;44702.44140625;53825.44921875;16020.72;23175.111328125;26978.541015625;29498.9296875;31274.9140625
P32389;12630.0576171875;17967.568359375;17052.1796875;74372.5;15170.162109375;12370.3515625;9436.265625;9041.927734375
P32419;661723.4375;554946.875;635587.0625;37186.16;586905;678494.5;698720;621013.5625
P32445;2069904.125;2855428.75;2808251.25;15386.16;3203772;2255944.75;2212774.5;2700849.25
P32447;456102.15625;437095.53125;455066.46875;31603.41;413653.96875;416982.75;407655.9375;397644.28125
P32449;2436002;2524758.25;2042372.75;39749.13;2405288.5;2721841.5;3038390;1933844
P32451;24595.958984375;32474.86328125;11110.826171875;41884.14;35946.6953125;13022.9443359375;21004.3671875;41756.890625
P32452;117259.0078125;68013.4609375;85382.0234375;38225.22;58658.8203125;106184.953125;85479.6328125;84677.484375
P32453;289804.84375;278381.34375;316723.1875;36851.26;334742.25;325044.28125;358967.84375;290239.59375
P32454;2051819.25;1199083.375;1473991.375;107755.06;1486542.875;2097061.75;1965689.75;1554308.25
P32457;523356.78125;709516.4375;675139;60054.31;600456.3125;565928.625;565229.25;582034.1875
P32458;330772.25;260815.8125;254076.125;47648.52;263910.8125;299818.6875;292980.90625;234841.46875
P32460;35498.96484375;25441.447265625;3592.4287109375;27313.48;24396.91015625;43635.38671875;10854.0810546875;23402.99609375
P32461;71942.0859375;48574.203125;54159.59765625;59775.42;26239.1640625;64440.4140625;54813.6328125;62272.5703125
P32462;262755.40625;193553.96875;149605.03125;50615.46;182977.65625;277746.3125;178835.53125;240231.734375
P32463;1696767.375;2019113.375;1736685.875;13942.67;2231888.25;1807473;1632867.5;1830709.625
P32464;15173.333984375;12108.052734375;13002.3984375;45853.05;8500.8671875;16976.03515625;6284.22998046875;8901.6259765625
P32465;625561.4375;360611.53125;341499.4375;63261.34;368748.0625;548245.5625;444914.78125;415078.09375
P32466;802906.5625;730083.8125;797467.125;62557.59;846986.6875;742075.0625;946659.125;966958.0625
