PG.UniprotIds,221125_EC1_nvolkmar_EX140_1.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_2.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_3.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_4.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_5.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_6.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_7.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_8.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_9.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_10.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_11.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_12.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_13.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_14.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_15.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_16.raw.PG.Label-Free Quant
Q3E784,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2705788,2724813,1285439,4860518,626544.9,2416518,3607236,2262429
P53925,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1438416,1369057,343354.9,NaN,1417826,857902.6,680285.3,1239672
P01119,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,313042.1,NaN,555168.6,653928.3,427738.8,351373.4,NaN,NaN
P53158,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1671500,1100824,600723.1,1150876,1444111,775260.8,1071558,1658964
P34244,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,201425.1,274331.8,674407.9,1019317,3558522,832640.7,452691,3076061
Q04439,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84370.32,NaN,399740.8,NaN,NaN,80516.83,NaN,NaN
P34217,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84057.25,NaN,NaN,NaN,150796,261183.8,112499.6,NaN
P38825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,353049.5,307538.1,NaN,232307.6,NaN,185891.1,258675.2,240786.5
P22141,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,683699.1,5113998,1497976,3016738,2661263,4316384,3137272,4757713
P53326,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,241822.3,NaN,427327.9,501537.4,338359.9,378801.1,179502,205397.8
P32353,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,330449.2,3230621,972740.3,673275.3,522171.2,2893786,1268917,837578.4
P17064,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62966.07,NaN,NaN,397955.8,NaN,NaN,NaN,NaN
P53258,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,655968.4,973624.8,1560319,1487718,569886.3,671654.6,277781.6,726653.9
P06208,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2082382,1456381,2202470,903235.9,899405.1,1976535,2934569,2412660
P53301,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1494825,3270810,2125999,2068135,2959172,3050560,1928138,2114350
P40363,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,356490.1,504460.4,386998.7,289776.6,977332.6,872968.4,1015236,919558.4
Q01589,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,288648.7,NaN,NaN,373434.3,766708.3
P36088,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,517436,802955.6,NaN,NaN,NaN,0,265465.2,0
Q12341,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1164111,1816548,NaN,NaN,1961430,2651015,247099.4,481372.5
P32490,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2192030,1419285,2606181,1609984,680113.8,438722.2,1516010,257931.1
P53088,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,824972.8,1752795,2262451,NaN,1509423,1487843,1391454,NaN
Q03503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,808330.4,447243.8,844385,493863.6,1055443,NaN,399827,229058.3
Q08199,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,711128.1,484425.4,617005.8,937828.3,1013789,1139648,1382338,1015270
Q99176,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,NaN,NaN,542229.4,NaN
P04803,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,704013.9,149126.8,119837.6,NaN,274531.6,79681.08,NaN,410982.3
P40580,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,760978.4,595825.4,NaN,NaN,502280.3,634806.9,768628.5,408006.3
Q03818,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,824577.6,1289376,NaN,845771.4,NaN,925931.6,NaN,NaN
Q06251,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,384439.3,NaN,249863.2,NaN,170084.1,NaN,NaN,127304.6
Q12180,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,160065.5,NaN,85678.75,NaN,NaN,133757.6,127671.7,NaN
Q00947,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,659371.3,0,577388.3,414415.2,NaN,NaN,224612.6,NaN
P33401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,169769.3,133056.1,846293.1,155839.8,0,362325.7,133475.3,435589.1
Q05958,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,614179.3,1123238,1402175,1592906,709240.4,187750.9,690374.7,938305.8
P16892,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,793702.5,975031.4,1321348,909140.2,1846157,350709,393495.1,761124.2
Q06405,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,818308.4,NaN,NaN,674350.1,372720.6,NaN,NaN,NaN
Q06336,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,582344.8,686557.4,150621.2,256411.5,289649.6,212556.5,201666,145623.5
Q06096,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,375893.6,746744.3,295180,861724.5,544264.6,473559.6,208598.2,653421.8
