Protein;Control_1;Control_2;Control_3;Control_4;HU_1;HU_2;HU_3;HU_4
P04786;109363.484375;102504.1015625;93456.40625;114416.4296875;100695.3046875;99086.078125;93740.46875;100018.6875
P04801;2503584.5;2499904;2678791;2423773.25;2480214;2570653;2571123;2734366.5
P04802;1800323;1586258.375;1844841.125;1770914.875;1831061.75;1955520;2138002.5;2099445.5
P04803;78692.2265625;58641.96875;92384.3671875;72027.8515625;76656.09375;74142.8515625;71177.375;72957.96875
P04806;3309977.5;4133089;4429918;3855944;4048178.25;4047121;3853531.75;3989681
P04807;11927101;11263006;10581616;10728906;12890106;11723052;11226912;12235023
P04819;141149.5625;110158.65625;138398.625;136312.828125;114401.03125;148393.703125;152316.453125;161521.4375
P04821;74949.2578125;74647.6796875;77216.953125;79057.34375;65270.5234375;72952.609375;55089.56640625;71968.96875
P04840;10037323;10931639;11651701;11198528;11959537;12369699;12005595;11513257
P05030;15908380;17527862;16523509;16288104;14910340;13745658;12884645;14222082
P05150;27795.6171875;33391.02734375;41707.4375;32655.771484375;37571.26953125;48080.2109375;51654.71875;58113.83203125
P05317;24712484;26408344;27612492;22745034;39171040;40875512;41846772;45549856
P05318;4895550;4527263;3692297.25;4547482;4390758.5;4353633;4361758.5;4490849
P05319;15154401;12778304;11068465;13478644;32502378;27764932;32660294;30024422
P05373;264784.53125;280446;318297.71875;308923.65625;339694;356612.375;419444.53125;405842.5625
P05374;440262.71875;411237.09375;519474.71875;440247.5;484261.09375;445826.46875;500714.9375;510594.09375
P05453;620638.1875;582166.3125;616707.5;596485;635805.8125;598140.25;599111.6875;633189.1875
P05626;805972.375;846533.0625;932627.0625;908434.6875;1100349.875;1200503.875;1288706.75;1181957.625
P05694;13722254;15505075;15334802;14320320;15274999;16165184;15532480;15590216
P05737;33284008;30943084;30822406;28612522;26379262;24548684;22587582;22981922
P05738;4970491.5;3927399.75;4273020.5;4576804.5;2926604.75;2915413.5;3624559.5;4598873.5
P05739;5587576.5;6981552;5594553.5;6285433;5040429.5;4373274;4201381.5;4547069.5
P05740;19550444;18581078;17161116;16259608;15540500;14582619;14425011;13878328
P05743;23463608;20127582;18302370;18410952;16694447;15457526;15737472;14988173
P05744;13279109;10783412;12390075;11653620;9720848;10121739;10319294;10929566
P05745;73919.8046875;166682.390625;122669.7265625;79647.3125;77785.171875;72758.4453125;57141.82421875;91647.71875
P05747;6322426;3905467.25;3888877.75;6953818;779052.5;354589.9375;583865.25;1235721.625
P05748;6196240.5;8183496.5;7919017;5979309.5;7827581.5;7415060;7039325.5;7709681
P05749;996261.75;883934.8125;1023683.6875;992435.9375;799999.6875;757198.125;854872.25;884649.4375
P05750;7104285.5;6966933;8764840;6887657;6653091.5;7161883.5;8560560;8417121
P05755;10085716;9325547;11379500;9660169;10401552;11618568;12721201;12654477
P05756;17762804;18111536;19839796;17375056;17044250;17629286;17412080;17809822
P05759;6273979.5;5350744;5622375;5926140;4529475.5;4303751.5;4002963;4284469
P05986;0;0;0;0;36387.11328125;43019.9765625;49367.3125;57947.1640625
P06100;84621.3359375;90933.3671875;85415.875;81407.28125;91498.8203125;98800.0546875;93181.6640625;84544.0625
P06101;895443.875;925876.25;804363.75;835000.8125;1088705.375;994763.0625;1038926.0625;952764.3125
P06102;237148.015625;220949.25;206190.0625;216257.40625;220967.640625;219007.15625;222701.53125;215057.3125
P06103;870223.125;824285.75;878498.125;834472.4375;892719.6875;914598.6875;858153.875;956103.875
P06104;133069.5;139316.265625;141922.109375;124632.453125;110384.7734375;111506.8671875;86807.15625;116763.859375
P06105;2085599.5;1870027.625;1819589.875;1827015.375;1796428;1686811.75;1583056.875;1659001.125
P06115;648350.6875;1539467.25;1505281.625;1472255;1604255;1719510.125;1717985.25;1760914.25
P06168;3121127.75;3726212;3336190.25;2975648.5;4376326;4194920.5;4232315;4162387.5
P06169;57009024;72563864;72535616;61029024;84539104;80285024;76997816;84810000
P06174;75324.59375;83121.9765625;78704.453125;79537.3359375;80529.8046875;86859.375;79253.921875;84921.0390625
P06182;105825.765625;131439.734375;126754.09375;95741.453125;76542.4375;86066.953125;88888.4609375;91971.78125
P06197;114724.1171875;128022.140625;141735.171875;127639.203125;245449.015625;264107.90625;329691.96875;284721.25
P06208;903610.5625;1062208.75;992456.6875;870138;1002411.5;1077149.625;1094654.625;1101486
P06242;57015.9765625;51986.33203125;56793.11328125;62565.734375;58014.52734375;55295.12890625;43211.546875;68644.5234375
P06244;53443.921875;60274.1015625;79347.7265625;67326.8515625;87119.890625;85011.6796875;99872.84375;89445.78125
