Protein;Control_1;Control_2;Control_3;Control_4;HU_1;HU_2;HU_3;HU_4
P41903;94307.2578125;80322.4296875;127715.9296875;140525.15625;85828.4921875;96888.765625;91172.96875;141900.078125
P41910;87000.1015625;87815.4765625;87812.515625;111462.140625;90966.5390625;74459.3203125;65798.3515625;89138.921875
P41911;665381.9375;642749;741099.25;708856.8125;958195.1875;1063820.5;1014918.5625;1064645.625
P41920;1310788.875;1467418;1296123;1409225.75;1732100.75;1566275;1573216.75;1548894.5
P41921;759116.625;846848.9375;893190.1875;787792.8125;1131948;1125832.875;1133259.25;1180765.375
P41930;28461.708984375;28921.63671875;33268.48828125;0;76011.4765625;66123.0078125;67081.40625;59311.0546875
P41940;5555248;5146012;6981062.5;6335768;7475154.5;7590162;7820515.5;7979896.5
P42073;33737.22265625;39507.4453125;33180.1953125;46928.39453125;44863.515625;33215.6875;44668.6328125;44861.90234375
P42826;269861.875;297632.78125;318624.75;329923.53125;317570.25;311615.40625;344168.96875;327155.46875
P42838;377827.15625;310838.3125;289098.3125;337249.125;251721.40625;226879.84375;252121.46875;230747.203125
P42839;140704.65625;109543.90625;118204.421875;140601.890625;61134.4140625;61383.4921875;48089.51953125;62814.5
P42840;25224.859375;23469.908203125;28360.8046875;28204.89453125;18578.1015625;26388.9609375;26770.1640625;27134.037109375
P42842;161998.953125;134687.9375;171035.8125;162677.421875;171134.546875;200687.890625;220762.34375;210165.109375
P42844;134540.3125;133590.828125;111087.4609375;119802.71875;127416.2578125;120038.828125;129852.125;116315.8984375
P42846;280703.15625;234673.03125;209227.484375;240317.984375;236123.171875;251035.546875;234601.96875;259228.921875
P42934;170716.875;156038.859375;174992.125;169040.984375;150006.1875;161480.265625;146189.90625;161823.765625
P42935;199512.40625;177938.578125;226126.5;214393.109375;210419.03125;248716;278635.46875;278546.25
P42936;0;55855.68359375;143573.78125;43902.49609375;34082.46875;44828.52734375;45080.7265625;62069.73828125
P42937;84319.265625;84175.5703125;88192.71875;97927.8828125;71094.9921875;73742.7109375;74900.46875;94306.796875
P42938;105057.9921875;123398.6484375;136579.578125;142693.828125;177685.21875;162120.546875;167675.703125;169603.75
P42940;415257.03125;404979.03125;328568.125;406904.375;348118.25;321806.4375;322651.125;325301.8125
P42941;194361.546875;162465.03125;187655.296875;200823.0625;340144.125;333001.21875;334041.34375;297374.71875
P42942;235245.375;215620.6875;245539.875;217203;221285.359375;198487.734375;198601.671875;199361.3125
P42943;598694.6875;574232.25;628625.3125;570250.125;587542.5;595848.875;621751.0625;642330.5
P42945;120109.0703125;101520.9375;104726.125;114555.1328125;111894.5;117560.8671875;143668.453125;133757.796875
P42949;215998.375;185942.125;191698.359375;210452.65625;232842.6875;199934.09375;184006.25;188429.390625
P43123;336394.5625;325406;330150.59375;343831.34375;380348.375;366151.75;364450.5;352567.25
P43132;0;0;0;0;11678.2890625;10664.6640625;12605.6181640625;4260.58349609375
P43321;175924.203125;146028.8125;103160.046875;136378.25;63990.47265625;59244.828125;89145.03125;110180.484375
P43535;408471.46875;433666.71875;435886.625;401552.5;520304.59375;495973.09375;435705.25;462270.71875
P43550;0;0;0;0;43986.2265625;21640.228515625;33741.0546875;40237.98046875
P43555;373715.78125;392726.0625;378343.125;412840.21875;444355.375;420971.0625;385975.84375;412108.90625
P43556;57134.0078125;50738.3203125;69553.3515625;54227.6328125;46671.08984375;54657.87109375;47308.75390625;46652.1015625
P43557;0;0;0;0;21170.375;24260.783203125;18924.158203125;15021.0791015625
P43558;52496.953125;57366.10546875;57835.87890625;59848.78515625;89315.9609375;99952.375;86235.6640625;104330.6484375
P43560;14645.5712890625;13750.560546875;23573.890625;11253.966796875;9861.875;6683.4140625;7514.81982421875;11316.357421875
P43561;256638.53125;222074.640625;278240.75;264516.25;315467.96875;260043.953125;253417.140625;229112.46875
P43563;42679.4140625;38917.0078125;32907.8671875;29137.080078125;32092.21875;21604.130859375;16367.8916015625;27177.25
P43564;50832.48828125;68977.2421875;98420.4765625;54926.11328125;360777;435691.96875;73087.84375;97103.40625
P43565;73734.8046875;70299.5390625;71419.96875;76353.296875;69439.4453125;70598.6171875;70898.640625;68231.6328125
P43567;25920.048828125;42425.6171875;52367.890625;48983.234375;65866.84375;55746.62109375;84993.9375;76791.3125
P43568;27979.60546875;31717.490234375;50315.44140625;37252.51171875;56867.48046875;55242.53515625;111686.53125;67018.2890625
P43569;144689.78125;149721.109375;182782.984375;150103.03125;173153.09375;167193.921875;214835.28125;187305.859375
P43572;93279.015625;64895.1796875;80165.6953125;161548.265625;83724.203125;88821.96875;65926.1015625;90820.7265625
P43573;60969.50390625;65388.6015625;50575.44140625;59774.49609375;58736.9375;56741.0390625;55021.4296875;61628.38671875
P43574;82937.4375;46856.9296875;53660.40625;64405.90234375;46058.23828125;44018.140625;37630.83984375;47888.1484375
P43577;115701.9375;53844.2734375;115310.0078125;112892.328125;112058.15625;104396.2734375;122280.1953125;136461.34375
P43579;111243.9921875;87643.625;93868.796875;113904.578125;67846.65625;62006.62109375;59770.5;62958.41015625
P43582;1129297.375;1404145.75;1234028;1176848.875;1723792.125;1616917.375;1492222.25;1629798.875
P43583;110794.7734375;102812.8046875;136642.375;120752.03125;127219.9765625;128408.25;138201.96875;147537.515625
P43585;699095.1875;640549.6875;568101.8125;533795.4375;643738.8125;606898.3125;550831.3125;577789
P43586;512302.0625;384877.03125;339059.75;384840.125;317931.4375;295585.3125;311432.40625;316791.59375
P43587;365509.9375;344778.09375;221528.921875;256574.296875;213750.703125;163836.28125;215463.65625;158268.9375
P43588;744323.6875;597071.1875;632410.875;681803.5625;801421.6875;844861.5;820171.375;839364.0625
P43589;30980.767578125;22046.087890625;41350.76171875;31031.509765625;33383.7578125;27826.333984375;0;31529.427734375
P43590;158269.5;152335.96875;173843.21875;174705.59375;155666.34375;160448.140625;158266.3125;147548.484375
P43591;33253.0078125;43942.71875;28491.3359375;46380.44140625;59555.13671875;51533.78515625;43329.484375;37984.48828125
P43593;590536;562284.0625;570757.8125;543620.9375;576470.8125;566652.25;558292.375;555264.6875
P43594;92541.0859375;82008.921875;64387.9609375;79484.1640625;108768.0625;89531.71875;92445.828125;89327.9609375
P43596;73656.6875;64334.625;63321.27734375;58684.20703125;60745.50390625;49608.2890625;57724.70703125;57901.5546875
P43597;165600.6875;173154.828125;145126.515625;150994.953125;164902.890625;151146.203125;160713.671875;149344.25
P43598;90847.75;102473.8515625;108918.1953125;126063.25;106663.59375;103273.5859375;122436.6875;93221.453125
P43601;94971.6484375;124208.828125;85713.796875;81292.796875;66816.8828125;70311.765625;75843.1015625;95318.9453125
P43603;929594.1875;849319.125;786130.5;848407.625;784477.3125;672496.5625;724697.5;776476.25
P43609;288463.15625;277135.0625;261032.703125;261355.953125;271769.5;286187.625;273460.34375;268624.28125
P43610;29393.810546875;24005.537109375;31849.916015625;15495.1357421875;22585.21875;26766.19140625;27970.748046875;29363.447265625
P43611;40796.73828125;30357.529296875;29958.990234375;26902;38829.3984375;26755.173828125;35455.359375;37819.69921875
P43612;88970.203125;98857.9609375;106611.15625;136665.140625;92262.796875;90850.1484375;129814;115735.6328125
P43613;74263.671875;75424.03125;71669.3515625;75278.703125;79361.7578125;64391.453125;56697.4296875;71450.8359375
P43616;5200054;5996461;5395443;5428709;5708156.5;5451322;5091654.5;5272299.5
P43619;434066;467371.03125;576979.625;560428.625;548865.875;581187.1875;677514.5;623828.0625
P43620;35121.69921875;31131.2890625;33600.6953125;35937.7890625;34051.73046875;29420.9453125;26758.55078125;27468.291015625
P43621;871130.25;839131.125;931772.0625;895127.5;794616;889054.625;874727.8125;930620
P43636;72253.390625;88103.3125;77182.6015625;81036.3046875;77328.84375;84325.84375;90825.203125;83333.8203125
P43638;170280.515625;165397.3125;170134.453125;168209.9375;196077.203125;169356.90625;163734.40625;169802.46875
P43639;151543.125;179386.96875;281472.65625;151987.53125;201366.359375;216662.875;176578.34375;208171.5625
P43682;132076.109375;127533.2421875;104487.25;113227.2734375;84550.984375;95108.7578125;92950.2734375;108380.453125
P45818;99254.7734375;84395.796875;77039.921875;90126.6796875;104510.3515625;94857.65625;100241.015625;95368.3671875
P45976;34458.875;34049.125;28671.544921875;36620.4609375;28360.9453125;27266.7109375;30131.2890625;25615.6015625
P45978;755361.75;709889.4375;608424.5625;690635.75;651106;592486.1875;669936.875;641631.4375
P46151;108313.109375;98386.546875;118663.296875;109692.84375;111048.46875;103571.3828125;114055.2578125;117263.0859375
P46367;2220704.5;2938259.5;3523292.75;2767081.25;5124302;5228696;5486852;5012519.5
P46654;3158003.25;3114685.5;3192838;3651210.5;3747180.25;3231286.25;2522486;3266952
P46655;2984806.75;2951089.75;3053592.25;3007867.25;3411291;3325109;3315140.25;3383144.5
P46669;348279.40625;353000.875;392582.6875;334426.8125;472038.375;440564.84375;428516.53125;449775.90625
P46670;41301.01953125;25926.98046875;29346.26171875;43257.50390625;78982.234375;1468.830078125;6114.58251953125;13079.4482421875
P46672;3253719;3356615.75;3125317.25;3047431.5;4112131.5;4021127.25;3606097.75;3860238.25
P46673;29241.275390625;24800.30078125;41519.40234375;47583.96875;47661.05078125;54458.06640625;61403.11328125;72160.8828125
P46675;108901.9609375;99829.03125;93304.6484375;97242.0390625;88291.078125;84237.8046875;80559.9609375;74946.8203125
P46676;58165.9296875;49188.6640625;39567.8515625;54437.72265625;38754.05859375;35596.859375;41751.828125;42575.68359375
P46677;4963760;5204946.5;4784279;5247561;5097760.5;4691566;4617955.5;4743245.5
P46678;68900.4375;50917.5078125;60170.62109375;58533.3671875;29100.609375;25304.34375;34524.6640625;29433.259765625
P46680;1280545.375;1469493.25;1695822.875;1576106.75;1752956;1915414.75;2039784.125;2111822.75
P46681;379359.5625;372108.78125;400551.59375;375858.1875;472523.6875;479525.15625;527266.4375;443379.5625
P46682;256513.640625;205157.984375;211281.375;207805.25;185142;174054.578125;159176.203125;170295.53125
P46683;421531.59375;394156.40625;322944.4375;385819.1875;418801.6875;395753.53125;429489.6875;385850.40625
P46784;716535.5;451426.625;441419.78125;417724.0625;287489.53125;0;340265.46875;419598.28125
P46948;79605.7265625;79239.4140625;94855.4453125;74747.4765625;69250.3046875;77247.8203125;90268.6484375;72138.890625
P46949;63149.66796875;48764.45703125;46638.046875;55167.66015625;43825.390625;42278.265625;33800.69140625;34856.05078125
P46951;80332.859375;69862.484375;79223.6328125;78615.453125;72082.015625;79560.8828125;84772.6015625;86614.03125
P46955;0;7931.6259765625;10224.6103515625;12414.947265625;4340.4130859375;4654.634765625;7256.68896484375;8756.4560546875
P46956;252000.984375;184132.390625;288660.90625;265333.96875;385976.34375;383426.75;400648.375;449946.5
P46957;105766.1796875;78730.609375;90982.5078125;110254.234375;64008.0546875;61528.23046875;66348.8125;82828.4609375
P46959;79664.765625;70367.3984375;77305.78125;76626.453125;84822.703125;89421.046875;95034.4765625;100077.8125
P46963;39712.01171875;31657.052734375;32611.59375;28420.009765625;71073.8125;75037.421875;60373.40625;63193.6875
P46964;265159;271709.96875;263755.4375;341624.28125;270878.59375;239191.4375;269408.46875;404533.59375
P46965;305749.75;270973.53125;279837.09375;296982.96875;209473.71875;223602.46875;168411.59375;215851.40625
P46969;477835.9375;405356.21875;457630.15625;418043.34375;409886.375;405177.96875;316558.28125;328556.125
P46970;57453.0546875;66738.1328125;64848.87109375;75613.890625;62890.4921875;69798.3203125;66498.546875;73110.0390625
P46971;141403.625;123800.40625;176606.46875;149934.8125;179504.046875;173647.5;177722;196419.4375
P46982;231383.734375;237542.265625;266762.4375;284334.25;265571.8125;262885.75;277175.75;277184.125
P46984;196224.265625;164622.34375;131129.15625;141201.3125;139949.921875;120778.0390625;151384.234375;110836.515625
P46985;170285.453125;164554.046875;202873.984375;171138.984375;198053.96875;216015.234375;249403.34375;221933.984375
P46988;171104.859375;156303.15625;135283.65625;163189.5625;164513.78125;154778.890625;161531.09375;133689.203125
P46989;411500.78125;387276.09375;360552.78125;393599.125;448089;417331.59375;384931.84375;415098.25
P46990;11255556;9245570;8710808;9182410;7772752;6075681.5;7355050.5;6845612.5
P46992;757854.4375;745435.25;695861.9375;839074.0625;748455.75;815805.5625;723864.125;686325.6875
P46995;93480.0625;91263.4375;79300.375;98463.5625;96451.0859375;91892.171875;88862.671875;90430.1328125
P47001;558263.5;598218.1875;538788.125;611790.25;536985.5;524769.125;631143.9375;719419.875
P47006;338526.625;278838.25;236845.3125;260952.34375;258065.03125;245066.96875;220823.703125;249045.03125
P47008;192621.265625;154085.015625;190489.265625;206554.796875;278266.0625;301546.46875;314452.5;300491.21875
P47011;44861.3203125;75958.3515625;62836.2109375;53857.8125;64268.9375;47767.625;49229.58984375;53698.28125
P47013;90517.578125;72260.1875;76957.1875;93608.3515625;18777.30859375;45441.82421875;24610.703125;71483.828125
P47015;23812.330078125;0;25258.16015625;45269.73828125;34569.36328125;38229.93359375;30796.830078125;34996.3359375
P47017;124454.7265625;112679.90625;119387.890625;138479.859375;171717.09375;157287.65625;145546.390625;164994.875
P47018;955061.875;913023.5;827381.1875;950085.4375;892714.125;836187.3125;830676.1875;827051.3125
P47019;225874.625;178775.796875;145116.890625;176060.15625;189108.609375;166891.25;174042.84375;200581.96875
P47025;50386.23828125;48114.75;46666.9609375;49416.3359375;30187.86328125;34378.75390625;33269.33984375;34567.4453125
P47029;62400.26953125;61207.66796875;72632.2890625;70067.6875;42288.890625;29279.24609375;49636.6953125;39909.46875
P47031;113390.5390625;111206.296875;107149.1640625;117906.921875;91031.2734375;87553.8046875;100161.5234375;96599.1875
P47032;124312;161926.0625;109097.6015625;136893;100322.8515625;77210.8125;47444.49609375;72507.4765625
P47033;36626.78515625;50310.82421875;41506.13671875;17516.697265625;32613.169921875;25893.228515625;0;23972.142578125
P47035;400239.34375;374872.59375;325797.6875;344577.75;360738.40625;322726.5;335912.96875;306457
P47037;143315.796875;115051.4375;127810.4140625;116136;133972.453125;124755.4375;134409.53125;136236.828125
P47039;243454.578125;236649.484375;298457.125;258646.828125;310176.75;359440.625;372905.71875;351002.09375
P47044;419039.78125;457607.28125;391099.625;431043.21875;370379.46875;367265.34375;298710.15625;348823.78125
P47045;116987.9453125;162833.578125;122739.3203125;128268.515625;96601.5390625;95904.828125;97054.4921875;85065.6875
P47047;347916.4375;299672.96875;315046.21875;331358.5625;331556.25;339977.59375;347631.15625;342080.96875
P47048;5070.1396484375;11407.4921875;4854.11181640625;3818.88916015625;5684.2421875;5500.69140625;6836.05224609375;0
P47049;32576.48828125;25203.6015625;27791.0078125;28582.537109375;21857.708984375;13219.0576171875;19586.09375;21573.701171875
P47050;30522.955078125;32573.8515625;32498.291015625;25944.359375;26824.099609375;26109.8984375;25743.404296875;25287.14453125
P47054;67682.3515625;51292.17578125;72624.40625;67098.484375;50171.45703125;60545.18359375;79648.5234375;86127.59375
P47057;64883.26953125;55027.15234375;51762.8125;94221.0625;51108.203125;50860.2890625;55132.08984375;61663.8203125
P47061;70492.0703125;79534.21875;67665.1171875;83717.109375;62139.421875;57307.43359375;52047.34375;60382.3359375
P47064;61199.60546875;54944.703125;92287.875;73541.28125;79140.046875;83155.875;101170.140625;107020.7109375
P47068;724711.6875;787557.1875;730713.9375;756991.3125;707980.625;688586.1875;709620.5625;688137.875
P47069;13277.4033203125;11979.970703125;11371.3623046875;11902.8203125;20630.529296875;21230.75;23244.17578125;17423.08203125
P47072;23103.55859375;44007.5;50954.49609375;54545.37109375;31315.78125;38056.6796875;30282.8828125;38997.94921875
P47075;763553;591806.6875;628358.8125;548714;734264.1875;673713.6875;613895.3125;593214.0625
P47076;47322.828125;31558.24609375;41642.71484375;40392.89453125;27394.5625;31564.52734375;22795.1015625;31684.92578125
P47077;33621.11328125;47075.41796875;61810.27734375;70454.8359375;47943.89453125;34251.75390625;57194.2890625;63786.36328125
P47079;1621199.875;1673618.25;1748140.25;1618510.625;1823898.75;1843501.625;1902560.25;1867889.75
P47082;205326.09375;202470.40625;173507.484375;183824.421875;94111.1484375;106992.484375;131083.859375;134430.75
P47083;170363.4375;157412.015625;115716.390625;138255.640625;149621.265625;149729.234375;135590.265625;142962.125
P47084;60283.8515625;48791.44921875;65570.2265625;66215.515625;47814.6015625;51504.80078125;47028.11328125;45354.64453125
P47085;17243.28515625;20033.9375;30836.861328125;22691.34765625;15596.96875;16888.5625;20242.65234375;19823.24609375
P47089;235312.9375;244045.328125;234881.765625;266092.40625;312493.125;279670.5;312876.28125;268785.15625
P47093;11297.7470703125;46097.41796875;27467.076171875;29103.171875;27436.080078125;24137.052734375;25117.14453125;32103.7578125
P47095;34895.23046875;51860.92578125;46724.41796875;56606.83203125;72493.0234375;69183.9453125;69655.0078125;62978.3125
P47096;641150.1875;770367.6875;638665.1875;693085.9375;745970.0625;678630.3125;625214.3125;651327.9375
P47102;270205.6875;140337.71875;157323.640625;355971.78125;97655.875;88118.0234375;58662.53515625;112250.5703125
P47103;133127.515625;133517.828125;116223.875;127686.3125;116038.375;115780.4140625;108645.546875;113038.2265625
P47104;47662.44921875;49411.04296875;53523.94921875;52705.765625;41329.671875;41104.65234375;42309.5703125;44788.96875
P47108;36876.640625;27743.611328125;37424.12109375;35735.2734375;42768.1640625;43330.94140625;45010.7734375;50212.8046875
P47112;49182.0546875;50777.48046875;54952.23046875;61633.03125;50813.125;57271.90234375;52011.015625;60305.2890625
P47116;369111.75;373642.59375;338752.375;363629.5625;305580.1875;276109.65625;286526.34375;317057.5
P47117;887295.875;1002285.75;1188592.125;1004727.9375;1151578.375;1127415.875;1120087.375;1162484.75
P47119;913464.1875;927018.875;814273.75;861942;762780.375;708285.8125;637542.5625;692812.875
P47120;1351763.25;1210577.625;1166475.25;1191839.5;1109237.875;1109021.5;1121349.875;1098646.875
P47122;280089.09375;266189.5;249883.640625;242341.25;226140.46875;188816.671875;249453.359375;232736.296875
P47123;80742.640625;72469.234375;53078.98046875;51975.4375;89567.125;84584.3359375;101878.3515625;129816.59375
P47124;232634.140625;225642.9375;276483.5;246704.65625;250035.078125;262747.21875;219445.046875;274364.09375
P47127;91978.796875;92270.9609375;109167.1015625;104092.9765625;102567.8203125;109893.2421875;114647.7578125;108766.65625
P47128;50124.4140625;0;44360.21484375;63188.38671875;44404.0078125;18477.3515625;40208.5078125;0
P47129;78362.3125;82259.8984375;63372.23046875;90269.78125;60043.34375;45535.046875;46409.04296875;38594.578125
P47130;75760.6953125;65388.26171875;74763.390625;88429.546875;81059.8359375;78081.15625;82781.21875;83159.171875
P47133;75385.6171875;70246.84375;102669.8203125;82081.796875;157598.71875;169063.796875;175958.9375;196293.484375
P47135;114814.7109375;113230.0625;98035.4296875;113436.6875;107388.234375;90576.609375;84428.921875;82469.5625
P47136;16316.796875;15877.642578125;14268.55078125;14107.0390625;10127.98828125;9053.580078125;8744.349609375;9095.1953125
P47137;127686.734375;184029.328125;216941.125;204087.390625;229304.796875;261380.75;261382.90625;246273.015625
P47138;27476.85546875;31903.220703125;31189.423828125;30785.923828125;25731.44140625;33047.3515625;16430.935546875;26900.439453125
P47140;0;0;0;0;22417.6015625;25531.822265625;31287.51171875;29791.0546875
P47141;44369.52734375;45099.83984375;51596.2578125;50587.23828125;43748.65625;32927.46484375;34747.60546875;38615.31640625
P47143;4972634.5;5761177;5201653.5;5062350.5;4927940;4513097.5;4828668;5018769
P47148;82656.7890625;64461.19921875;91603.5;89221.515625;59766.24609375;69964.5;69863.1015625;77423.796875
P47149;1088560.375;1054766.125;875252.25;1152380.375;927518.6875;852423.5625;894038.625;891138.125
P47150;91270.3046875;97277.125;83424.796875;83956.09375;93502.7421875;89846.5234375;79326.4765625;80935.4609375
P47154;169764.671875;149584.46875;225812.1875;191642.296875;202927.328125;209311.875;254925.328125;242919.921875
P47156;153674.671875;51501.40625;113248.0234375;304009.625;184661.171875;206067.578125;222544.125;150800.5625
P47160;396188.9375;435674.15625;349090.8125;409244.28125;372548.09375;347490.78125;353063.1875;334532.25
P47164;29733.56640625;30622.736328125;32934.55859375;43501.671875;24551.17578125;33877.62109375;31357.7578125;37005.19140625
P47165;97449.3515625;98726.546875;101360.5390625;92888.03125;89576.5;85863.328125;87150.203125;104883.34375
P47166;193540.328125;198357.34375;165223.4375;181346.328125;190467.703125;189692.25;192087.265625;167661.84375
P47169;145048.140625;184486.734375;149079.6875;136676.6875;157894.46875;207919.0625;169190.671875;172487.140625
P47170;73728.1171875;64752.8515625;73974.09375;79727.9375;72706.59375;77400.609375;74799.5625;80444.015625
P47173;84858.3359375;113890.5703125;114420.6640625;93852.1484375;69337.0625;73725.1953125;77693.703125;82407.6328125
P47176;620188.75;740277.3125;673358.375;678432.6875;674338.9375;626751.8125;612907.1875;633382
P47190;51024.28125;40858.078125;42753.36328125;48439.234375;42653.72265625;35376.6484375;39929.95703125;37180.1171875
P47771;1212416;1931749.125;2037937.125;2067151.75;4287184;4192053.5;4439929.5;3992319.75
P47818;247023.4375;325184.71875;279171.375;321783.28125;271434.34375;237125.53125;258028.734375;238923.65625
P47822;14533.9248046875;12802.5810546875;14594.81640625;10043.4267578125;15999.2822265625;8161.021484375;11403.623046875;12096.5849609375
P47912;656203.125;552690;640816.125;650167.9375;618303.8125;570390.3125;585143.5;585253.0625
P48015;274072.28125;286992.5625;298444.6875;265608.46875;380074.5625;347632.46875;342192.4375;356481.6875
P48016;13395.7197265625;20282.46484375;39098.86328125;36204.31640625;20849.638671875;19367.4140625;25459.072265625;30179.564453125
P48164;10761679;10308053;10679860;10184222;8441225;9071252;8589290;8896480
P48231;277714.09375;241201.359375;212742.296875;236207.359375;169116.796875;168164.65625;160862.1875;179419.859375
P48234;161953.4375;178668.765625;179556.859375;153208.75;165325.5;170511.015625;159459.953125;177574.828125
P48236;31203.625;31973.333984375;32577.01953125;28989.142578125;19460.642578125;20331.95703125;20845.85546875;23419.36328125
P48240;43151.5859375;29350.201171875;33318.328125;39455.5234375;53291.2734375;55897.01171875;55625.4921875;50177.78125
P48353;101173.9921875;84628.3515625;89905.2109375;96559.96875;68440.65625;84717.1484375;71908.9765625;90903.0625
P48360;63308.9140625;66436.6796875;60771.60546875;79904.4296875;107461.1171875;101695.1640625;114920.3046875;111934.3125
P48361;538656.75;459100.15625;473279.25;510412.75;356023.40625;322574.09375;313208.5;345403.8125
P48362;176462.21875;155260.78125;178099.125;184479.765625;164450.171875;184350.796875;185246.71875;167413.359375
P48363;199291.15625;186480.203125;164432.046875;201020.546875;159615.796875;146297.390625;160523.34375;178791.265625
P48365;55778.16796875;60948.21875;51985.203125;59156.90234375;60183.8515625;79104.5;65234.09375;74684.2109375
P48412;86026.1640625;78101.9453125;68624.3046875;85990.921875;94078.09375;74464.90625;61730.609375;60640.76171875
P48415;342247.90625;311139.625;267119.375;282516;265698.1875;254911.96875;255775.0625;231418.859375
P48439;102635.8359375;81566.453125;162149.609375;122423.8203125;140754.171875;151462.46875;143155.96875;146328
P48445;122476.734375;104662.21875;117856.78125;115583.28125;99746.078125;101534.703125;115703.4453125;105940.1484375
P48510;662987.25;716631.25;618275.5625;605431.125;598060.125;527430.875;546858.6875;533796.4375
P48524;83496.2265625;89273.6015625;87565.484375;85294.1640625;68636.390625;71900.0234375;71412.234375;81077.2421875
P48527;73231.3828125;69807.2890625;78953.5;57360.78125;43431.0390625;39833.15234375;46257.91015625;59051.56640625
P48558;81648.8046875;82835.5078125;87675.078125;91524.2734375;198696.140625;175080.078125;173819.5;184593.453125
P48562;47814;46450.05078125;43537.87109375;37809.203125;40230.5390625;35116.484375;34297.75;31283.033203125
P48563;43331.96875;40804.234375;43298.05859375;54541.69921875;67710.9453125;77183.5859375;85145.7890625;83373.640625
P48564;0;0;0;0;8557.052734375;6348.87255859375;6306.185546875;5958.53955078125
P48566;0;0;0;0;11892.3544921875;19163.306640625;0;23423.28515625
P48567;127465.203125;110208.0234375;94563.6484375;109207.2421875;92352.6875;105275.3046875;107891.3984375;93047.890625
P48570;2262379.75;2014780.625;2331687.75;2237126.75;2574868.5;2658048.25;2687108.25;2648168.75
P48582;305640.78125;283278.3125;297572.28125;320628.46875;274901.25;270933.3125;266844.375;291536.875
P48589;9237154;9331425;10400627;7508215;7273476;8201706.5;9843166;8533382
P48606;1000073.125;863725;845369.9375;979001;899714.3125;964845.0625;858890.875;786121
P48813;155715.859375;132820.921875;130204.7109375;137092.3125;116499.234375;98353.59375;115175.90625;111589.6875
P48836;2735704;2108051;2163407.5;2529326;2193322.75;2009011.5;2237814;1858348.625
P48837;260298.984375;266854.65625;253786.46875;276970.625;238147.1875;228084.03125;231455.296875;242919.96875
P49017;229636.78125;205447.40625;256133.21875;306481.6875;233483.796875;224945.21875;216182.765625;201038.6875
P49089;763971.625;806487.0625;770027.25;723620.1875;823095.25;854761.125;792132.75;884497.875
P49090;2615314.75;2825571.25;2923726.5;2424006.5;2982722.25;2906109;2808426.75;2836305
P49095;239071.296875;214379.71875;203280.953125;212350.484375;271529.46875;238172.203125;215829.6875;215569.953125
P49166;5546696.5;4324020;4440096;4846610;3848917;3865821.25;3876183.25;3322539.75
P49167;11756809;8971380;9046532;9300394;8443132;7929051;8061337.5;7110178
P49334;1455549.75;1649130.5;1144539.5;1277280;1136713.375;1099692.5;915772.375;1062581.25
P49367;226657.359375;211249.703125;206257;206389.9375;241845.109375;233616.578125;235915.703125;225236.453125
P49435;980415.875;973806.0625;1040131.9375;992962.875;1200763.75;1363784.5;1478188.5;1394900.75
P49626;16426397;17635068;16433535;16147455;15253100;14639580;14405438;15033570
P49686;46471.32421875;32327.0078125;27473.26171875;42419.53125;30297.681640625;26065.12109375;32750.732421875;27247.7265625
P49687;236728.875;223322.71875;218571.125;212791.40625;246428.4375;249286.8125;236302.75;245253.265625
P49723;761676.75;848182.5625;864391.5;799546.4375;2838478.25;2562207.75;3220932.25;2950556
P49775;102205.828125;104400.34375;81589.390625;0;95453.28125;109063.6953125;99213.3828125;0
P49954;377120.78125;355021.78125;387299.46875;384627.875;449582.125;464258.71875;506011.75;460032.53125
P49955;38375.9765625;35321.53125;38293.05859375;36319.19921875;23226.2265625;29014.31640625;32644.173828125;33898.375
P49956;37860.8828125;35746.05859375;35292.74609375;42940.59765625;31316.490234375;33972.63671875;31959.146484375;35715.9453125
P49957;70993.3515625;76436.765625;85073.8203125;77004.4140625;72833.9296875;65680.28125;74956.328125;73353.375
P49960;42549.1328125;64480.234375;51981.93359375;60796.9609375;30215.025390625;40745.09765625;105165.0234375;42576.875
P50077;0;7440.35400390625;5903.63232421875;6176.59765625;19036.90234375;22551.5625;20104.16015625;20849.98828125
P50079;97687.671875;54100.390625;50989.3046875;127136.59375;29655.708984375;29464.25;32996.27734375;45789.91796875
P50085;812412.4375;818003.125;787294.875;777575.3125;695132.4375;725273.5;698838.3125;763949.125
P50086;207653.53125;175182.109375;189660.828125;208802.8125;339426.4375;427980.8125;468938.8125;383952.15625
P50087;362480.8125;308025.78125;294541.1875;366780.78125;235222.3125;210818.84375;193465.328125;209376.65625
P50089;22969.296875;17468.912109375;24489.18359375;18325.46875;32776.32421875;16250.4619140625;10950.4384765625;19185.068359375
P50094;1085920.125;1055925.875;1095598.625;1119737.75;1247838.625;1232221.5;1203139.375;1220477.375
P50095;1157756.375;1363074.875;1269142.75;1177151.375;1339095.75;1220697.625;1298011.625;1335957.25
P50101;305575.28125;308605.5;337586.75;357396.15625;287989.09375;289100.75;278510.25;287352.15625
P50102;0;0;0;0;30546.4453125;32756.1875;33749.69140625;27965.859375
P50105;53260.25390625;56148.984375;48539.515625;61915.421875;45270.49609375;45360.48046875;45015.24609375;42375.83203125
P50106;240981.03125;217971.984375;207190.953125;212125.125;218482.859375;196977.40625;225020.375;199646.03125
P50107;412496.5625;521295.125;517519.0625;534828.4375;696475;729887.5625;777358.125;719339.375
